Date,Open,High,Low,Close,Adj Close,Volume
1994-02-22,7.375,7.375,7.25,7.25,4.478565216064453,20800
1994-02-23,7.125,7.125,6.75,6.9375,4.285529136657715,31600
1994-02-24,6.9375,6.9375,6.8125,6.8125,4.208312034606934,32000
1994-02-25,6.6875,6.6875,6.25,6.4375,3.976658821105957,49800
1994-02-28,6.5,6.75,6.4375,6.625,4.092485427856445,170400
1994-03-01,6.625,6.625,6.5,6.5625,4.053875923156738,41600
1994-03-02,6.4375,6.5625,6.4375,6.5625,4.053875923156738,67000
1994-03-03,6.625,6.625,6.5,6.5,4.015267848968506,27800
1994-03-04,6.5,6.75,6.4375,6.75,4.169702053070068,358200
1994-03-07,6.4375,6.8125,6.4375,6.75,4.169702053070068,690800
1994-03-08,6.75,6.8125,6.75,6.8125,4.208312034606934,515200
1994-03-09,6.8125,6.875,6.8125,6.875,4.246918201446533,540400
1994-03-10,6.875,6.875,6.8125,6.875,4.246918201446533,1832200
1994-03-11,6.9375,7.1875,6.9375,7.1875,4.4399614334106445,1895400
1994-03-14,7.1875,7.625,7.1875,7.5625,4.671611785888672,1413800
1994-03-15,7.5625,7.6875,7.4375,7.4375,4.594394683837891,1665200
1994-03-16,7.4375,7.4375,7.3125,7.4375,4.594394683837891,717000
1994-03-17,7.4375,7.6875,7.4375,7.5625,4.687366962432861,971200
1994-03-18,7.625,7.6875,7.625,7.625,4.726104259490967,1178000
1994-03-21,7.625,7.6875,7.625,7.6875,4.764843463897705,659400
1994-03-22,7.6875,7.875,7.6875,7.8125,4.842319488525391,374000
1994-03-23,7.8125,7.9375,7.75,7.875,4.8810601234436035,430200
1994-03-24,7.8125,7.875,7.75,7.75,4.803581237792969,747000
1994-03-25,7.8125,7.8125,7.625,7.6875,4.764843463897705,370000
1994-03-28,7.6875,7.6875,7.625,7.625,4.726104259490967,1116200
1994-03-29,7.625,7.6875,7.5,7.5,4.648626327514648,595800
1994-03-30,7.5,7.5,7.3125,7.375,4.571150302886963,653000
1994-03-31,7.375,7.4375,7.25,7.375,4.571150302886963,448400
1994-04-04,7.125,7.375,7.125,7.375,4.571150302886963,386600
1994-04-05,7.3125,7.6875,7.3125,7.625,4.726104259490967,361600
1994-04-06,7.625,7.6875,7.375,7.375,4.571150302886963,551400
1994-04-07,7.5,7.5,7.375,7.4375,4.609889984130859,338400
1994-04-08,7.3125,7.5,7.3125,7.5,4.648626327514648,166000
1994-04-11,7.5,7.625,7.25,7.25,4.493672847747803,424800
1994-04-12,7.125,7.25,7.125,7.125,4.416197299957275,602800
1994-04-13,7.125,7.3125,7.0,7.0,4.338717937469482,504600
1994-04-14,7.0625,7.0625,6.9375,6.9375,4.29998254776001,378200
1994-04-15,6.875,7.0625,6.875,6.875,4.261241436004639,197600
1994-04-18,7.0,7.25,7.0,7.25,4.493672847747803,184800
1994-04-19,7.1875,7.3125,7.1875,7.25,4.493672847747803,122200
1994-04-20,7.3125,7.3125,7.125,7.125,4.416197299957275,201400
1994-04-21,7.125,7.3125,6.875,6.875,4.261241436004639,858200
1994-04-22,7.0,7.25,7.0,7.25,4.493672847747803,411400
1994-04-25,7.1875,7.625,7.1875,7.625,4.726104259490967,330600
1994-04-26,7.5625,7.5625,7.25,7.375,4.571150302886963,313400
1994-04-28,7.3125,7.3125,7.125,7.3125,4.532413005828857,161600
1994-04-29,7.25,7.3125,7.1875,7.25,4.493672847747803,344600
1994-05-02,7.1875,7.3125,7.0625,7.1875,4.454935550689697,135800
1994-05-03,7.25,7.4375,7.125,7.1875,4.454935550689697,375200
1994-05-04,7.125,7.375,7.125,7.3125,4.532413005828857,491800
1994-05-05,7.3125,7.3125,7.1875,7.25,4.493672847747803,152800
1994-05-06,7.25,7.3125,7.25,7.25,4.493672847747803,272800
1994-05-09,7.25,7.3125,7.25,7.25,4.493672847747803,161600
1994-05-10,7.25,7.5,7.25,7.5,4.648626327514648,308200
1994-05-11,7.5,7.6875,7.5,7.5625,4.687366962432861,388600
1994-05-12,7.5,7.75,7.5,7.75,4.803581237792969,155000
1994-05-13,7.6875,7.75,7.375,7.375,4.571150302886963,105200
1994-05-16,7.375,7.5625,7.375,7.4375,4.609889984130859,206800
1994-05-17,7.5,7.5625,7.4375,7.5,4.648626327514648,422600
1994-05-18,7.5,7.5,7.4375,7.5,4.648626327514648,130800
1994-05-19,7.4375,7.625,7.375,7.5625,4.687366962432861,199400
1994-05-20,7.5,7.5625,7.375,7.375,4.571150302886963,119600
1994-05-23,7.3125,7.375,7.25,7.25,4.493672847747803,195600
1994-05-24,7.4375,7.5625,7.375,7.5625,4.687366962432861,158200
1994-05-25,7.5,7.75,7.5,7.6875,4.764843463897705,104800
1994-05-26,7.75,7.75,7.5625,7.75,4.803581237792969,345800
1994-05-27,7.6875,7.8125,7.625,7.8125,4.842319488525391,298000
1994-05-31,7.9375,8.25,7.875,8.0625,4.997274875640869,456400
1994-06-01,8.0625,8.0625,7.875,7.875,4.8810601234436035,268200
1994-06-02,8.0,8.0625,7.8125,7.875,4.8810601234436035,81000
1994-06-03,7.8125,7.9375,7.625,7.75,4.803581237792969,397400
1994-06-06,7.875,7.9375,7.8125,7.875,4.8810601234436035,75600
1994-06-07,7.75,7.9375,7.75,7.9375,4.919797420501709,92800
1994-06-08,7.9375,7.9375,7.875,7.875,4.8810601234436035,107600
1994-06-09,7.8125,7.90625,7.8125,7.875,4.896604537963867,187800
1994-06-10,7.875,7.875,7.6875,7.6875,4.780019283294678,280600
1994-06-13,7.75,7.875,7.5625,7.875,4.896604537963867,97600
1994-06-14,7.875,8.0625,7.8125,8.0625,5.013189315795898,339800
1994-06-15,8.0,8.1875,8.0,8.1875,5.090914726257324,305200
1994-06-16,8.125,8.5,8.0625,8.5,5.285224437713623,393800
1994-06-17,8.5,8.5,8.25,8.25,5.12977409362793,407200
1994-06-20,8.125,8.25,8.0625,8.125,5.0520524978637695,47800
1994-06-21,8.125,8.5,8.125,8.5,5.285224437713623,556200
