Date,Open,High,Low,Close,Adj Close,Volume
1997-10-16,5.8125,5.8125,5.5625,5.6875,3.5703048706054688,7436400
1997-10-17,5.65625,5.75,5.40625,5.59375,3.5114519596099854,3390400
1997-10-20,5.5,5.625,5.46875,5.53125,3.4722189903259277,3068000
1997-10-21,5.5625,5.6875,5.5,5.59375,3.5114519596099854,2382400
1997-10-22,5.6875,5.75,5.59375,5.71875,3.5899195671081543,1525200
1997-10-23,5.6875,5.6875,5.53125,5.59375,3.5114519596099854,1622400
1997-10-24,5.65625,5.71875,5.5625,5.71875,3.5899195671081543,813600
1997-10-27,5.65625,5.75,5.375,5.421875,3.4035582542419434,1507200
1997-10-28,5.25,5.6875,4.9375,5.59375,3.5114519596099854,2955600
1997-10-29,5.6875,5.71875,5.59375,5.65625,3.550687551498413,1859200
1997-10-30,5.53125,5.5625,5.375,5.5,3.4526000022888184,856000
1997-10-31,5.4375,5.640625,5.4375,5.5,3.4526000022888184,561600
1997-11-03,5.625,5.84375,5.53125,5.734375,3.599729537963867,1004000
1997-11-04,5.75,5.875,5.6875,5.78125,3.629154920578003,364000
1997-11-05,5.8125,6.0625,5.78125,5.90625,3.7076210975646973,324400
1997-11-06,5.875,6.25,5.875,6.25,3.923410654067993,361600
1997-11-07,6.1875,6.625,6.03125,6.4375,4.041110515594482,662400
1997-11-10,6.3125,6.5,6.15625,6.15625,3.8645598888397217,266800
1997-11-11,5.9375,6.0,5.75,6.0,3.7664754390716553,618000
1997-11-12,6.0,6.0,5.5625,5.6875,3.5703048706054688,314800
1997-11-13,5.5625,5.625,5.46875,5.5,3.4526000022888184,500000
1997-11-14,5.4375,5.5,5.3125,5.4375,3.4133660793304443,438000
1997-11-17,5.5,5.84375,5.5,5.8125,3.648770332336426,284000
1997-11-18,5.875,5.875,5.6875,5.71875,3.5899195671081543,1429600
1997-11-19,5.71875,5.8125,5.5625,5.5625,3.491835355758667,148400
1997-11-20,5.625,5.625,5.3125,5.5625,3.491835355758667,1268000
1997-11-21,5.5625,5.625,5.5,5.53125,3.4722189903259277,640800
1997-11-24,5.5,5.59375,5.5,5.53125,3.4722189903259277,64400
1997-11-25,5.5625,5.625,5.5,5.515625,3.4624102115631104,326800
1997-11-26,5.5,5.53125,5.234375,5.253905773162842,3.2981173992156982,463200
1997-11-28,5.28125,5.3125,5.25,5.25,3.295664072036743,212800
1997-12-01,5.25,5.375,5.25,5.265625,3.305473566055298,475200
1997-12-02,5.375,5.5,5.28125,5.34375,3.354515790939331,1280800
1997-12-03,5.4375,5.5,5.34375,5.5,3.4526000022888184,934400
1997-12-04,5.5,5.625,5.40625,5.546875,3.4820268154144287,681600
1997-12-05,5.5,5.75,5.4375,5.6875,3.5703048706054688,282800
1997-12-08,5.6875,5.75,5.65625,5.71875,3.5899195671081543,227600
1997-12-09,5.75,5.8125,5.59375,5.59375,3.5114519596099854,124000
1997-12-10,5.625,5.625,5.3125,5.375,3.383204936981201,269600
1997-12-11,5.25,5.375,5.15625,5.3125,3.343864679336548,400800
1997-12-12,5.375,5.375,5.15625,5.15625,3.245516300201416,412400
1997-12-15,5.25,5.375,5.171875,5.21875,3.2848570346832275,289200
1997-12-16,5.125,5.3125,5.125,5.21875,3.2848570346832275,190800
1997-12-17,5.15625,5.1875,5.03125,5.03125,3.1668379306793213,584800
1997-12-18,5.09375,5.09375,4.96875,5.0,3.147167682647705,272400
1997-12-19,5.03125,5.03125,4.9375,4.9375,3.107828140258789,921600
1997-12-22,4.9375,5.3125,4.9375,5.0625,3.1865074634552,924000
1997-12-23,5.1875,5.1875,4.9375,5.0,3.147167682647705,2331200
1997-12-24,5.03125,5.03125,4.9375,4.9375,3.107828140258789,50400
1997-12-26,5.0,5.0625,4.96875,5.0625,3.1865074634552,1248400
1997-12-29,5.0625,5.28125,5.0,5.28125,3.32419490814209,430800
1997-12-30,5.0625,5.34375,5.0625,5.28125,3.32419490814209,662800
1997-12-31,5.40625,5.6875,5.25,5.59375,3.5208935737609863,911600
1998-01-02,5.53125,5.78125,5.53125,5.78125,3.6389122009277344,112400
1998-01-05,6.03125,6.09375,5.625,5.625,3.5405635833740234,629600
1998-01-06,5.59375,5.59375,5.25,5.421875,3.412709951400757,915200
1998-01-07,5.421875,5.75,5.421875,5.5625,3.5012238025665283,164800
1998-01-08,5.5,5.78125,5.5,5.75,3.6192429065704346,236000
1998-01-09,5.65625,5.75,5.5,5.5,3.461883544921875,140400
1998-01-12,5.375,5.53125,5.34375,5.34375,3.3635356426239014,927200
1998-01-13,5.5,5.5,5.3125,5.4375,3.422544002532959,100400
1998-01-14,5.4375,5.5625,5.34375,5.359375,3.373370885848999,585600
1998-01-15,5.4375,5.4375,5.34375,5.375,3.383204936981201,417200
