Date,Open,High,Low,Close,Adj Close,Volume
1973-02-21,0.0,5.5625,5.234375,5.234375,2.0477490425109863,18400
1973-02-22,0.0,5.328125,5.234375,5.28125,2.066087484359741,31200
1973-02-23,0.0,5.28125,5.0625,5.0625,1.980509877204895,29600
1973-02-26,0.0,5.09375,5.0,5.0,1.9560596942901611,21600
1973-02-27,0.0,5.03125,4.953125,4.953125,1.9377222061157227,12800
1973-02-28,0.0,4.953125,4.859375,4.9375,1.931607961654663,44800
1973-03-01,0.0,5.0,4.953125,4.953125,1.9377222061157227,23200
1973-03-02,0.0,4.984375,4.84375,4.921875,1.9362469911575317,52800
1973-03-05,0.0,4.9375,4.90625,4.90625,1.930099368095398,21600
1973-03-06,0.0,4.828125,4.765625,4.796875,1.8870723247528076,18400
1973-03-07,0.0,4.8125,4.625,4.65625,1.831749677658081,141600
1973-03-08,0.0,4.75,4.625,4.6875,1.8440438508987427,40000
1973-03-09,0.0,4.75,4.6875,4.71875,1.8563371896743774,88000
1973-03-12,0.0,4.734375,4.6875,4.6875,1.8440438508987427,46400
1973-03-13,0.0,4.703125,4.65625,4.6875,1.8440438508987427,60000
1973-03-14,0.0,4.6875,4.625,4.65625,1.831749677658081,103200
1973-03-15,0.0,4.578125,4.375,4.375,1.7211074829101562,70400
1973-03-16,0.0,4.296875,4.125,4.28125,1.6842268705368042,141600
1973-03-19,0.0,4.265625,4.1875,4.234375,1.6657865047454834,69600
1973-03-20,0.0,4.203125,4.140625,4.203125,1.653493046760559,72800
1973-03-21,0.0,4.234375,4.15625,4.234375,1.6657865047454834,60000
1973-03-22,0.0,4.28125,4.171875,4.28125,1.6842268705368042,82400
1973-03-23,0.0,4.296875,4.25,4.296875,1.6903740167617798,79200
1973-03-26,0.0,4.328125,4.28125,4.296875,1.6903740167617798,51200
1973-03-27,0.0,4.515625,4.296875,4.515625,1.7764289379119873,76000
1973-03-28,0.0,4.6875,4.5625,4.640625,1.8256033658981323,70400
1973-03-29,0.0,4.96875,4.671875,4.953125,1.9485408067703247,63200
1973-03-30,0.0,4.953125,4.8125,4.90625,1.930099368095398,40800
1973-04-02,0.0,4.9375,4.828125,4.859375,1.911659598350525,24000
1973-04-03,0.0,4.859375,4.75,4.828125,1.8993659019470215,49600
1973-04-04,0.0,4.8125,4.640625,4.640625,1.8256033658981323,34400
1973-04-05,0.0,4.625,4.59375,4.625,1.8194565773010254,68000
1973-04-06,0.0,4.578125,4.34375,4.34375,1.7088141441345215,46400
1973-04-09,0.0,4.390625,4.125,4.265625,1.6780803203582764,360800
1973-04-10,0.0,4.40625,4.296875,4.40625,1.7334010601043701,77600
1973-04-11,0.0,4.671875,4.46875,4.671875,1.8378980159759521,132800
1973-04-12,0.0,4.875,4.6875,4.84375,1.9055120944976807,64800
1973-04-13,0.0,4.890625,4.8125,4.8125,1.8932197093963623,18400
1973-04-16,0.0,4.8125,4.65625,4.6875,1.8440438508987427,52800
1973-04-17,0.0,4.703125,4.6875,4.6875,1.8440438508987427,8000
1973-04-18,0.0,4.6875,4.515625,4.5625,1.7948689460754395,16800
