Date,Open,High,Low,Close,Adj Close,Volume
1995-12-15,24.0,24.875,24.0,24.875,13.651519775390625,1283000
1995-12-18,24.875,25.0625,24.25,24.4375,13.411404609680176,2710200
1995-12-19,24.4375,24.4375,23.75,23.9375,13.137001991271973,1096600
1995-12-20,23.9375,24.6875,23.9375,24.5625,13.480003356933594,3904000
1995-12-21,24.5,24.6875,24.0625,24.25,13.308499336242676,3891400
1995-12-22,24.375,24.5625,24.25,24.375,13.377099990844727,2170200
1995-12-26,24.375,24.375,24.1875,24.3125,13.34280776977539,935600
1995-12-27,24.25,24.3125,24.0625,24.0625,13.205606460571289,1391400
1995-12-28,23.9375,24.25,23.875,24.0625,13.205606460571289,1983000
1995-12-29,23.9375,24.1875,23.6875,24.1875,13.274209976196289,1028000
1996-01-02,24.0625,24.375,23.875,24.25,13.308499336242676,1641200
1996-01-03,24.1875,24.375,24.125,24.1875,13.274209976196289,2544000
1996-01-04,24.0,24.5,24.0,24.4375,13.411404609680176,2348200
1996-01-05,24.4375,24.5,24.1875,24.375,13.377099990844727,3229000
1996-01-08,24.625,24.9375,24.5,24.9375,13.685803413391113,1086400
1996-01-09,24.9375,24.9375,24.625,24.8203125,13.621499061584473,4461400
1996-01-10,24.5625,24.6875,23.9375,24.125,13.239901542663574,1805000
1996-01-11,24.375,24.4375,24.125,24.375,13.377099990844727,2521600
1996-01-12,24.875,24.875,24.3125,24.8125,13.617207527160645,1359200
1996-01-15,24.9375,25.25,24.875,25.25,13.85731315612793,945600
1996-01-16,25.6875,25.6875,25.3125,25.375,13.925911903381348,1892000
1996-01-17,25.125,25.3125,25.0625,25.0625,13.754411697387695,1104800
1996-01-18,24.9375,25.25,24.6875,25.125,13.78870964050293,1987200
1996-01-19,24.9375,25.125,24.875,25.0,13.720110893249512,1019200
1996-01-22,24.875,25.0,24.75,25.0,13.720110893249512,1224000
1996-01-23,25.25,25.5,25.1875,25.4375,13.960209846496582,2034400
1996-01-24,25.375,25.4375,25.1875,25.25,13.85731315612793,2159600
1996-01-25,25.125,25.4375,24.75,24.875,13.651519775390625,2170000
1996-01-26,24.75,25.1875,24.5625,25.1875,13.823014259338379,1425600
1996-01-29,25.0,25.125,24.8125,25.0,13.720110893249512,412800
