Date,Open,High,Low,Close,Adj Close,Volume
1975-06-12,0.0,15.5,15.25,15.25,7.109132289886475,680800
1975-06-13,0.0,15.6875,15.4375,15.4375,7.196536064147949,434400
1975-06-16,0.0,15.5,15.25,15.25,7.109132289886475,195800
1975-06-17,0.0,15.1875,14.9375,14.9375,6.963452339172363,278800
1975-06-18,0.0,15.625,15.375,15.375,7.167401313781738,178200
1975-06-19,0.0,15.875,15.625,15.625,7.283946514129639,190400
1975-06-20,0.0,15.9375,15.6875,15.6875,7.313079357147217,304800
1975-06-23,0.0,15.8125,15.5625,15.5625,7.2548065185546875,119400
1975-06-24,0.0,15.5,15.25,15.25,7.109132289886475,240000
1975-06-25,0.0,15.375,15.125,15.125,7.050858974456787,158400
1975-06-26,0.0,15.25,15.0,15.0,6.992588996887207,121200
1975-06-27,0.0,15.1875,14.9375,14.9375,6.963452339172363,88000
1975-06-30,0.0,15.5,15.25,15.25,7.109132289886475,123200
1975-07-01,0.0,15.3125,15.0625,15.0625,7.02172327041626,87200
1975-07-02,0.0,15.1875,14.9375,14.9375,6.963452339172363,139400
1975-07-03,0.0,15.8125,15.5625,15.5625,7.2548065185546875,158600
1975-07-07,0.0,15.4375,15.1875,15.1875,7.079994201660156,112400
1975-07-08,0.0,15.375,15.125,15.125,7.050858974456787,144000
1975-07-09,0.0,15.75,15.5,15.5,7.225671768188477,223000
1975-07-10,0.0,15.6875,15.4375,15.4375,7.196536064147949,227600
1975-07-11,0.0,16.25,16.0,16.0,7.458762168884277,293400
1975-07-14,0.0,17.0625,16.8125,16.8125,7.837522506713867,371800
1975-07-15,0.0,17.0,16.75,16.75,7.808391094207764,281600
1975-07-16,0.0,16.9375,16.6875,16.6875,7.779257297515869,364600
1975-07-17,0.0,17.1875,16.9375,16.9375,7.8957953453063965,222000
1975-07-18,0.0,18.0,17.75,17.75,8.274563789367676,351000
1975-07-21,0.0,17.8125,17.5625,17.5625,8.187149047851562,204800
1975-07-22,0.0,17.1875,16.9375,16.9375,7.8957953453063965,234000
1975-07-23,0.0,16.875,16.625,16.625,7.750117301940918,176800
1975-07-24,0.0,16.625,16.375,16.375,7.633573055267334,143400
1975-07-25,0.0,16.1875,15.9375,15.9375,7.429625034332275,102600
1975-07-28,0.0,16.125,15.875,15.875,7.400488376617432,96000
1975-07-29,0.0,15.625,15.375,15.375,7.167401313781738,160200
1975-07-30,0.0,15.8125,15.5625,15.5625,7.2548065185546875,118600
1975-07-31,0.0,15.5,15.25,15.25,7.109132289886475,88400
1975-08-01,0.0,15.1875,14.9375,14.9375,6.963452339172363,101600
1975-08-04,14.9375,14.9375,14.9375,14.9375,6.963452339172363,0
1975-08-05,0.0,15.6875,15.4375,15.4375,7.196536064147949,120200
1975-08-06,0.0,16.3125,16.0625,16.0625,7.4878997802734375,109800
1975-08-07,0.0,15.625,15.375,15.375,7.167401313781738,127200
1975-08-08,0.0,15.0625,14.8125,14.8125,6.905182361602783,144600
1975-08-11,0.0,15.375,15.125,15.125,7.050858974456787,111400
1975-08-12,0.0,15.3125,15.0625,15.0625,7.02172327041626,81600
1975-08-13,0.0,14.5,14.25,14.25,6.642960548400879,112400
1975-08-14,0.0,14.5,14.25,14.25,6.642960548400879,104200
1975-08-15,0.0,14.25,14.0,14.0,6.526417255401611,73600
1975-08-18,0.0,13.625,13.375,13.375,6.235055923461914,78400
1975-08-19,0.0,13.625,13.375,13.375,6.235055923461914,69800
1975-08-20,0.0,14.0625,13.8125,13.8125,6.439007759094238,83600
1975-08-21,0.0,14.625,14.375,14.375,6.701231002807617,60400
1975-08-22,0.0,15.0,14.75,14.75,6.876044273376465,32200
1975-08-25,0.0,14.9375,14.6875,14.6875,6.846909999847412,48000
1975-08-26,0.0,14.4375,14.1875,14.1875,6.613823890686035,70200
1975-08-27,0.0,14.6875,14.4375,14.4375,6.730360984802246,42400
1975-08-28,0.0,15.4375,15.1875,15.1875,7.079994201660156,83600
1975-08-29,0.0,15.625,15.375,15.375,7.167401313781738,105200
1975-09-02,0.0,14.9375,14.6875,14.6875,6.846909999847412,70800
1975-09-03,0.0,15.1875,14.9375,14.9375,6.963452339172363,69400
1975-09-04,0.0,15.3125,15.0625,15.0625,7.02172327041626,59600
