Date,Open,High,Low,Close,Adj Close,Volume
1995-06-16,7.5,8.0,7.4375,7.5,6.838565349578857,6212400
1995-06-19,7.5625,7.625,7.0625,7.1875,6.553624629974365,1528200
1995-06-20,7.25,7.3125,7.1875,7.1875,6.553624629974365,863000
1995-06-21,7.25,7.25,7.0,7.0625,6.4396491050720215,629000
1995-06-22,7.0625,7.5625,7.0,7.3125,6.667603015899658,546200
1995-06-23,7.375,7.4375,7.25,7.3125,6.667603015899658,365000
1995-06-26,7.3125,7.375,7.0,7.0625,6.4396491050720215,515400
1995-06-27,7.125,7.125,7.0,7.0,6.382658958435059,270800
1995-06-28,7.0625,7.0625,7.0,7.0,6.382658958435059,500400
1995-06-29,7.0,7.125,7.0,7.0,6.382658958435059,309200
1995-06-30,7.0625,7.1875,7.0625,7.125,6.496636867523193,95000
1995-07-03,7.0625,7.125,7.0625,7.0625,6.4396491050720215,9200
1995-07-05,7.125,7.125,7.0625,7.0625,6.4396491050720215,75600
1995-07-06,7.0625,7.125,7.0625,7.0625,6.4396491050720215,81400
1995-07-07,7.0625,7.625,7.0625,7.5625,6.89555549621582,475000
1995-07-10,7.5,7.75,7.5,7.75,7.066517353057861,241400
1995-07-11,7.625,8.5625,7.625,8.5,7.750372886657715,538600
1995-07-12,8.5,9.0625,8.375,9.0,8.206279754638672,496200
1995-07-13,9.0,9.0,8.8125,8.9375,8.149292945861816,384000
1995-07-14,8.9375,8.9375,8.75,8.9375,8.149292945861816,102200
1995-07-17,9.0625,9.5,9.0625,9.4375,8.605192184448242,480200
1995-07-18,9.4375,9.4375,9.0,9.0625,8.26326847076416,359200
1995-07-19,9.0,9.0,8.8125,8.875,8.092302322387695,101600
1995-07-20,8.75,8.75,8.4375,8.6875,7.921336650848389,119600
1995-07-21,8.75,8.75,8.6875,8.6875,7.921336650848389,13000
1995-07-24,8.6875,8.8125,8.5625,8.5625,7.807358741760254,112000
1995-07-25,8.5625,8.8125,8.5625,8.75,7.978326320648193,201000
1995-07-26,8.875,9.1875,8.875,9.125,8.320256233215332,287800
1995-07-27,9.1875,9.375,9.1875,9.3125,8.491214752197266,101600
1995-07-28,9.375,9.4375,9.3125,9.3125,8.491214752197266,100400
1995-07-31,9.375,9.375,9.0625,9.25,8.43423080444336,60800
1995-08-01,9.1875,9.1875,9.0,9.0625,8.26326847076416,57600
1995-08-02,9.0,9.0,8.875,8.875,8.092302322387695,41000
1995-08-03,8.8125,8.8125,8.75,8.75,7.978326320648193,12600
1995-08-04,8.625,8.6875,8.5625,8.625,7.864348888397217,9000
1995-08-07,8.5625,8.75,8.5625,8.6875,7.921336650848389,12200
1995-08-08,8.625,8.6875,8.5625,8.5625,7.807358741760254,3200
1995-08-09,8.4375,8.4375,8.1875,8.1875,7.465431213378906,24000
1995-08-10,8.25,8.25,8.125,8.125,7.408445835113525,6800
1995-08-11,8.125,8.125,8.125,8.125,7.408445835113525,10000
1995-08-14,8.0625,8.125,7.9375,8.0,7.294467449188232,28200
1995-08-15,8.0,8.0625,8.0,8.0,7.294467449188232,9400
1995-08-16,8.0625,8.25,8.0625,8.1875,7.465431213378906,11800
1995-08-17,8.1875,8.3125,8.1875,8.25,7.522420406341553,6200
1995-08-18,8.375,8.375,8.25,8.25,7.522420406341553,9800
1995-08-21,8.25,8.4375,8.25,8.375,7.636394500732422,8600
1995-08-22,8.3125,8.4375,8.3125,8.4375,7.693384647369385,12400
1995-08-23,8.5,8.6875,8.5,8.5625,7.807358741760254,28800
1995-08-24,8.625,8.75,8.625,8.75,7.978326320648193,16200
1995-08-25,8.625,8.625,8.5625,8.5625,7.807358741760254,30200
1995-08-28,8.5625,8.5625,8.4375,8.4375,7.693384647369385,9200
1995-08-29,8.375,8.375,8.1875,8.1875,7.465431213378906,9200
1995-08-30,8.25,8.25,8.1875,8.1875,7.465431213378906,1400
1995-08-31,8.125,8.1875,8.125,8.125,7.408445835113525,13800
1995-09-01,8.0,8.0625,8.0,8.0625,7.351459503173828,9200
1995-09-05,8.0,8.0625,8.0,8.0,7.294467449188232,12200
1995-09-06,7.9375,8.0625,7.8125,7.8125,7.12350606918335,23400
1995-09-07,7.8125,7.875,7.625,7.75,7.066517353057861,48800
1995-09-08,7.75,8.0,7.75,7.9375,7.23748254776001,140200
1995-09-11,7.9375,7.9375,7.8125,7.875,7.18049430847168,104000
1995-09-12,7.9375,8.0,7.9375,8.0,7.294467449188232,11000
1995-09-13,8.125,8.125,7.8125,7.8125,7.12350606918335,14600
1995-09-14,7.625,7.8125,7.625,7.8125,7.12350606918335,14800
1995-09-15,7.75,7.75,7.6875,7.75,7.066517353057861,6200
1995-09-18,7.75,7.75,7.5,7.5,6.838565349578857,41600
1995-09-19,7.5625,7.625,7.5,7.5,6.838565349578857,5000
1995-09-20,7.5,7.5,7.1875,7.25,6.610611438751221,20800
1995-09-21,7.1875,7.375,7.125,7.375,6.7245893478393555,61000
1995-09-22,7.4375,7.5,7.375,7.375,6.7245893478393555,53400
1995-09-25,7.4375,7.5,7.3125,7.3125,6.667603015899658,28200
1995-09-26,7.25,7.375,7.125,7.3125,6.667603015899658,265000
1995-09-27,7.3125,7.3125,7.0625,7.0625,6.4396491050720215,95200
1995-09-28,7.125,7.1875,7.0625,7.1875,6.553624629974365,68600
1995-09-29,7.125,7.1875,7.125,7.1875,6.553624629974365,12200
1995-10-02,7.1875,7.1875,7.0625,7.125,6.496636867523193,77400
1995-10-03,7.125,7.125,6.75,6.75,6.154710292816162,141400
1995-10-04,6.625,6.625,6.5625,6.5625,5.983743667602539,49000
1995-10-05,6.4375,7.375,6.4375,7.375,6.7245893478393555,180400
1995-10-06,7.5625,7.5625,7.4375,7.5625,6.89555549621582,64800
1995-10-09,7.5,7.5,7.3125,7.3125,6.667603015899658,46200
1995-10-10,7.3125,7.3125,7.25,7.3125,6.667603015899658,22800
1995-10-11,7.3125,7.3125,7.3125,7.3125,6.667603015899658,3400
1995-10-12,7.375,7.4375,7.3125,7.375,6.7245893478393555,20200
1995-10-13,7.4375,7.5,7.4375,7.5,6.838565349578857,6800
1995-10-16,7.5,7.5,7.4375,7.4375,6.781578063964844,7400
1995-10-17,7.4375,7.5,7.25,7.3125,6.667603015899658,264800
1995-10-18,7.25,7.25,6.75,6.75,6.154710292816162,54400
1995-10-19,6.75,6.875,6.625,6.75,6.154710292816162,108800
1995-10-20,6.75,6.75,6.5,6.5,5.926755905151367,17000
1995-10-23,6.3125,6.4375,6.25,6.3125,5.755792140960693,414800
1995-10-24,6.3125,6.375,6.25,6.25,5.698802471160889,174400
1995-10-25,6.3125,6.375,6.1875,6.375,5.812780857086182,941600
1995-10-26,6.4375,6.4375,6.1875,6.1875,5.64181661605835,50000
1995-10-27,6.1875,6.1875,6.0,6.0,5.470850944519043,64400
1995-10-30,6.0,6.0,5.0625,5.125,4.673017501831055,244400
1995-10-31,5.125,5.125,4.3125,4.375,3.9891631603240967,1446200
1995-11-01,4.375,4.5625,4.3125,4.5,4.103139877319336,787000
1995-11-02,4.5,4.6875,4.5,4.6875,4.274101734161377,427800
1995-11-03,4.75,5.125,4.6875,5.125,4.673017501831055,153400
1995-11-06,5.25,5.3125,4.8125,4.875,4.445068359375,100200
1995-11-07,4.875,4.9375,4.8125,4.875,4.445068359375,32600
1995-11-08,4.9375,5.0,4.875,4.9375,4.502053260803223,60800
1995-11-09,5.0,5.0,4.75,4.75,4.33109188079834,37200
1995-11-10,4.75,4.8125,4.5625,4.5625,4.160128116607666,71400
1995-11-13,4.5625,4.5625,4.375,4.4375,4.050591468811035,59200
1995-11-14,4.5,4.6875,4.4375,4.5,4.107637882232666,82600
1995-11-15,4.4375,4.5625,4.4375,4.5,4.107637882232666,21400
1995-11-16,4.5,4.5625,4.4375,4.5625,4.1646904945373535,19400
1995-11-17,4.5625,4.5625,4.4375,4.4375,4.050591468811035,23400
1995-11-20,4.5,4.625,4.4375,4.5625,4.1646904945373535,29200
1995-11-21,4.625,4.625,4.4375,4.625,4.221740245819092,50200
1995-11-22,4.625,4.6875,4.5,4.5625,4.1646904945373535,70600
1995-11-24,4.5625,4.5625,4.5,4.5625,4.1646904945373535,22400
1995-11-27,4.625,4.625,4.5,4.5,4.107637882232666,151200
1995-11-28,4.4375,4.5625,4.375,4.5625,4.1646904945373535,590800
1995-11-29,4.625,4.625,4.5625,4.625,4.221740245819092,18800
1995-11-30,4.6875,4.75,4.625,4.625,4.221740245819092,137400
1995-12-01,4.625,4.6875,4.625,4.6875,4.278791904449463,145200
1995-12-04,4.625,4.6875,4.625,4.6875,4.278791904449463,15800
1995-12-05,4.6875,4.6875,4.4375,4.4375,4.050591468811035,36200
1995-12-06,4.4375,4.5,4.3125,4.3125,3.9364888668060303,41400
1995-12-07,4.375,4.5,4.3125,4.5,4.107637882232666,124800
1995-12-08,4.4375,4.5,4.375,4.4375,4.050591468811035,68600
1995-12-11,4.375,4.4375,4.375,4.375,3.993539810180664,36600
1995-12-12,4.4375,4.5,4.4375,4.4375,4.050591468811035,29800
1995-12-13,4.4375,4.4375,4.375,4.375,3.993539810180664,72400
1995-12-14,4.4375,4.4375,4.3125,4.375,3.993539810180664,400200
1995-12-15,4.3125,4.375,4.3125,4.375,3.993539810180664,39400
1995-12-18,4.5,4.625,4.4375,4.5,4.107637882232666,202400
1995-12-19,4.5,4.8125,4.4375,4.8125,4.392894268035889,232400
1995-12-20,4.8125,4.875,4.6875,4.75,4.335841655731201,182000
1995-12-21,4.75,4.75,4.625,4.6875,4.278791904449463,377400
1995-12-22,4.6875,4.75,4.625,4.6875,4.278791904449463,253800
1995-12-26,4.75,4.75,4.625,4.6875,4.278791904449463,386800
1995-12-27,4.75,5.125,4.6875,5.125,4.678145408630371,476600
1995-12-28,5.125,5.375,5.0625,5.25,4.792247295379639,366800
1995-12-29,5.3125,5.375,5.25,5.3125,4.849296569824219,171600
1996-01-02,5.3125,5.375,5.125,5.1875,4.73520040512085,88600
1996-01-03,5.1875,5.1875,4.875,5.0,4.564045429229736,101400
1996-01-04,4.9375,5.0625,4.9375,5.0,4.564045429229736,122600
1996-01-05,5.0,5.0,4.875,5.0,4.564045429229736,67800
1996-01-08,5.0,5.0,4.9375,4.9375,4.506994247436523,82600
1996-01-09,5.0,5.0,4.8125,4.8125,4.392894268035889,177400
1996-01-10,4.875,4.875,4.6875,4.6875,4.278791904449463,110400
1996-01-11,4.75,4.75,4.625,4.75,4.335841655731201,58000
1996-01-12,4.75,4.75,4.625,4.6875,4.278791904449463,73200
1996-01-15,4.75,4.75,4.6875,4.75,4.335841655731201,74000
1996-01-16,4.6875,4.75,4.625,4.625,4.221740245819092,56800
1996-01-17,4.6875,4.6875,4.625,4.625,4.221740245819092,64800
1996-01-18,4.5625,4.5625,4.4375,4.5625,4.1646904945373535,122800
1996-01-19,4.5,4.625,4.4375,4.5625,4.1646904945373535,64400
1996-01-22,4.625,4.6875,4.5625,4.625,4.221740245819092,38000
1996-01-23,4.625,4.6875,4.625,4.6875,4.278791904449463,51600
1996-01-24,4.625,4.625,4.5625,4.625,4.221740245819092,58800
1996-01-25,4.625,4.625,4.5,4.5625,4.1646904945373535,73600
1996-01-26,4.5625,4.625,4.5,4.5625,4.1646904945373535,31600
1996-01-29,4.625,4.625,4.5625,4.625,4.221740245819092,118600
1996-01-30,4.625,4.75,4.625,4.75,4.335841655731201,125000
1996-01-31,4.75,4.75,4.625,4.625,4.221740245819092,62000
1996-02-01,4.625,4.625,4.5625,4.625,4.221740245819092,53600
1996-02-02,4.5625,4.625,4.5,4.625,4.221740245819092,105600
1996-02-05,4.625,4.625,4.5,4.5625,4.1646904945373535,427800
1996-02-06,4.5625,4.625,4.5,4.625,4.221740245819092,124200
1996-02-07,4.6875,4.9375,4.6875,4.875,4.449945449829102,349600
1996-02-08,4.9375,5.0,4.875,4.9375,4.506994247436523,295000
1996-02-09,4.9375,5.0,4.8125,4.875,4.449945449829102,115200
1996-02-12,4.875,5.125,4.875,5.0625,4.621096611022949,73600
1996-02-13,5.0,5.25,5.0,5.25,4.792247295379639,131800
1996-02-14,5.3125,5.375,5.25,5.3125,4.849296569824219,64200
1996-02-15,5.375,5.375,5.25,5.25,4.792247295379639,91200
1996-02-16,5.3125,5.625,5.25,5.5625,5.077499866485596,146400
1996-02-20,5.6875,5.75,5.5,5.625,5.134552478790283,202600
1996-02-21,5.75,5.8125,5.5625,5.625,5.134552478790283,79600
1996-02-22,5.75,6.0625,5.75,5.875,5.362755298614502,390600
1996-02-23,5.9375,5.9375,5.8125,5.9375,5.419804573059082,99000
1996-02-26,5.9375,5.9375,5.75,5.75,5.24865198135376,181800
1996-02-27,5.8125,5.875,5.6875,5.75,5.24865198135376,44000
1996-02-28,5.75,5.75,5.625,5.6875,5.191600799560547,44200
1996-02-29,5.6875,5.75,5.625,5.75,5.24865198135376,30800
1996-03-01,5.75,5.875,5.75,5.75,5.24865198135376,42800
1996-03-04,5.75,5.9375,5.75,5.8125,5.305703163146973,170200
1996-03-05,5.8125,5.8125,5.75,5.8125,5.310268878936768,82000
1996-03-06,5.8125,5.8125,5.5,5.5625,5.081871509552002,75000
1996-03-07,5.625,5.625,5.5,5.5,5.024772644042969,55600
1996-03-08,5.375,5.4375,5.125,5.1875,4.739276885986328,122800
1996-03-11,5.125,5.3125,5.0625,5.3125,4.853471755981445,121200
1996-03-12,5.25,5.4375,5.1875,5.3125,4.853471755981445,201600
1996-03-13,5.375,5.625,5.375,5.4375,4.967673301696777,362000
1996-03-14,5.5,5.5,5.375,5.375,4.910569667816162,83400
1996-03-15,5.375,5.375,5.25,5.25,4.796375274658203,72400
1996-03-18,5.25,5.5,5.25,5.5,5.024772644042969,151800
1996-03-19,5.5,5.5,5.3125,5.3125,4.853471755981445,131600
1996-03-20,5.3125,5.375,5.3125,5.3125,4.853471755981445,86200
1996-03-21,5.375,5.4375,5.3125,5.3125,4.853471755981445,19800
1996-03-22,5.3125,5.4375,5.3125,5.4375,4.967673301696777,38200
1996-03-25,5.4375,5.4375,5.3125,5.375,4.910569667816162,38200
1996-03-26,5.3125,5.4375,5.3125,5.4375,4.967673301696777,78000
1996-03-27,5.5,5.5,5.4375,5.5,5.024772644042969,86200
1996-03-28,5.4375,5.5,5.4375,5.4375,4.967673301696777,99400
1996-03-29,5.375,5.375,5.375,5.375,4.910569667816162,66000
1996-04-01,5.4375,5.4375,5.375,5.375,4.910569667816162,196800
1996-04-02,5.4375,5.5,5.375,5.4375,4.967673301696777,132600
1996-04-03,5.4375,5.5,5.375,5.4375,4.967673301696777,103000
1996-04-04,5.4375,5.4375,5.375,5.375,4.910569667816162,34800
1996-04-08,5.3125,5.375,5.3125,5.375,4.910569667816162,45000
1996-04-09,5.4375,5.4375,5.375,5.4375,4.967673301696777,22000
1996-04-10,5.375,5.4375,5.375,5.375,4.910569667816162,31000
1996-04-11,5.4375,5.5625,5.375,5.5625,5.081871509552002,46600
1996-04-12,5.5,5.9375,5.5,5.8125,5.310268878936768,93000
1996-04-15,5.875,5.875,5.75,5.75,5.253172397613525,17600
1996-04-16,5.8125,5.9375,5.8125,5.875,5.367373466491699,48000
1996-04-17,5.875,5.875,5.75,5.75,5.253172397613525,85400
1996-04-18,5.6875,5.9375,5.6875,5.875,5.367373466491699,31200
1996-04-19,5.9375,6.375,5.875,6.1875,5.652868270874023,127400
1996-04-22,6.3125,6.8125,6.25,6.4375,5.88126802444458,201400
1996-04-23,6.625,6.6875,6.4375,6.5,5.938366413116455,142800
1996-04-24,6.5,6.5,6.25,6.3125,5.767070293426514,106600
1996-04-25,6.1875,6.5625,6.1875,6.5,5.938366413116455,341600
1996-04-26,6.75,6.875,6.625,6.8125,6.2238688468933105,96600
1996-04-29,6.75,6.8125,6.75,6.75,6.166767120361328,102800
1996-04-30,6.6875,7.0625,6.4375,7.0625,6.452261924743652,105800
1996-05-01,7.0,7.0,6.875,6.875,6.2809672355651855,77200
1996-05-02,6.8125,6.8125,6.4375,6.4375,5.88126802444458,127800
